ID,Shinji,Kyuji,Kyuji_Unicode,Kyuji_Unicode_with_IVS,CID
241,轄,轄,U+8F44,U+8F44 U+E0101,CID+13685
242,且,且,U+4E14,,
243,株,株,U+682A,,
244,釜,釜,U+91DC,,
245,鎌,鎌,U+938C,U+938C U+E0101,CID+13686
246,刈,刈,U+5208,,
247,干,干,U+5E72,,
248,刊,刊,U+520A,,
249,甘,甘,U+7518,,
250,汗,汗,U+6C57,,
251,缶,罐,U+7F50,,
252,完,完,U+5B8C,,
253,肝,肝,U+809D,,
254,官,官,U+5B98,,
255,冠,冠,U+51A0,,
256,巻,卷,U+5377,,
257,看,看,U+770B,,
258,陥,陷,U+9677,,
259,乾,乾,U+4E7E,,
260,勘,勘,U+52D8,,
261,患,患,U+60A3,,
262,貫,貫,U+8CAB,U+8CAB U+E0101,CID+13426
263,寒,寒,U+5BD2,U+5BD2 U+E0101,CID+13688
264,喚,喚,U+559A,,
265,堪,堪,U+582A,,
266,換,換,U+63DB,,
267,敢,敢,U+6562,,
268,棺,棺,U+68FA,,
269,款,款,U+6B3E,,
270,間,間,U+9593,,
271,閑,閑,U+9591,,
272,勧,勸,U+52F8,,
273,寛,寬,U+5BEC,,
274,幹,幹,U+5E79,,
275,感,感,U+611F,,
276,漢,漢,U+FA47,,
277,慣,慣,U+6163,,
278,管,管,U+7BA1,,
279,関,關,U+95DC,,
280,歓,歡,U+6B61,,
281,監,監,U+76E3,,
282,緩,緩,U+7DE9,U+7DE9 U+E0101,CID+13690
283,憾,憾,U+61BE,,
284,還,還,U+9084,U+9084 U+E0101,CID+13692
285,館,館,U+FA2C,,
286,環,環,U+74B0,U+74B0 U+E0101,CID+13689
287,簡,簡,U+7C21,,
288,観,觀,U+89C0,,
289,韓,韓,U+97D3,U+97D3 U+E0101,CID+13694
290,艦,艦,U+8266,,
291,鑑,鑑,U+9451,,
292,丸,丸,U+4E38,,
293,含,含,U+542B,,
294,岸,岸,U+5CB8,,
295,岩,岩,U+5CA9,,
296,玩,玩,U+73A9,,
297,眼,眼,U+773C,,
298,頑,頑,U+9811,,
299,顔,顏,U+984F,,
300,願,願,U+9858,,
301,企,企,U+4F01,,
302,伎,伎,U+4F0E,,
303,危,危,U+5371,U+5371 U+E0101,CID+13696
304,机,机,U+673A,,
305,気,氣,U+6C23,,
306,岐,岐,U+5C90,,
307,希,希,U+5E0C,,
308,忌,忌,U+5FCC,,
309,汽,汽,U+6C7D,,
310,奇,奇,U+5947,,
311,祈,祈,U+FA4E,,
312,季,季,U+5B63,,
313,紀,紀,U+7D00,,
314,軌,軌,U+8ECC,U+8ECC U+E0101,CID+13430
315,既,既,U+FA42,,
316,記,記,U+8A18,,
317,起,起,U+8D77,U+8D77 U+E0101,CID+13704
318,飢,飢,U+98E2,U+98E2 U+E0101,CID+13705
319,鬼,鬼,U+9B3C,,
320,帰,歸,U+6B78,,
321,基,基,U+57FA,,
322,寄,寄,U+5BC4,,
323,規,規,U+898F,,
324,亀,龜,U+9F9C,,
325,喜,喜,U+559C,,
326,幾,幾,U+5E7E,U+5E7E U+E0101,CID+13700
327,揮,揮,U+63EE,,
328,期,期,U+671F,U+671F U+E0101,CID+13702
329,棋,棋,U+68CB,,
330,貴,貴,U+8CB4,,
331,棄,棄,U+68C4,,
332,毀,毀,U+6BC0,,
333,旗,旗,U+65D7,,
334,器,器,U+FA38,,
335,畿,畿,U+757F,,
336,輝,輝,U+8F1D,,
337,機,機,U+6A5F,U+6A5F U+E0101,CID+13703
338,騎,騎,U+9A0E,,
339,技,技,U+6280,,
340,宜,宜,U+5B9C,,
341,偽,僞,U+50DE,,
342,欺,欺,U+6B3A,,
343,義,義,U+7FA9,,
344,疑,疑,U+7591,,
345,儀,儀,U+5100,,
346,戯,戲,U+6232,,
347,擬,擬,U+64EC,,
348,犠,犧,U+72A7,,
349,議,議,U+8B70,,
350,菊,菊,U+83CA,,
351,吉,吉,U+5409,,
352,喫,喫,U+55AB,U+55AB U+E0101,CID+13707
353,詰,詰,U+8A70,,
354,却,却,U+5374,,
355,客,客,U+5BA2,,
356,脚,脚,U+811A,,
357,逆,逆,U+9006,U+9006 U+E0101,CID+13709
358,虐,虐,U+8650,U+8650 U+E0101,CID+13708
359,九,九,U+4E5D,,
360,久,久,U+4E45,,
361,及,及,U+53CA,U+53CA U+E0101,CID+13710
362,弓,弓,U+5F13,,
